rid,eqtime,avsize,finalsize,stateent,runtime,netent
23642,8.300000,390.900000,446,-0.089899,10.400000,-1.393700
23643,11.000000,577.333000,1400,-0.679591,8.030000,-1.349440
23644,4.500000,300.000000,300,0.000000,0.810000,-1.352120
23645,10.666700,584.667000,1570,-0.692417,7.720000,-1.291240
23646,12.285700,489.429000,1132,-0.618449,17.970000,-1.507300
23647,11.333300,571.667000,1568,-0.692639,8.150000,-1.274830
23648,6.000000,300.000000,300,0.000000,1.060000,-1.311610
23649,12.000000,585.667000,1063,-0.668508,8.520000,-1.360010
23650,6.166670,336.667000,352,0.000000,3.660000,-1.267340
23651,12.333300,572.000000,1051,-0.673624,9.010000,-1.381580
23652,6.000000,300.000000,300,0.000000,1.090000,-1.336190
23653,12.333300,587.000000,1277,-0.689891,9.020000,-1.355420
23654,7.833330,330.667000,350,0.000000,4.600000,-1.334170
23655,12.333300,585.667000,1291,-0.691274,8.160000,-1.361600
23656,5.500000,300.000000,300,0.000000,0.980000,-1.322110
23657,11.666700,581.667000,1084,-0.685487,8.760000,-1.397170
23658,8.100000,387.900000,471,-0.118652,9.880000,-1.407610
23659,11.666700,575.333000,1080,-0.680112,8.900000,-1.349020
23660,5.000000,300.000000,300,0.000000,0.900000,-1.382360
23661,40.000000,592.667000,1356,-0.693146,40.920000,-1.341030
23662,12.300000,540.300000,941,-0.403533,27.370000,-1.306990
23663,11.333300,579.333000,1308,-0.692023,8.060000,-1.375830
23664,5.000000,300.000000,300,0.000000,0.900000,-1.351830
23665,12.333300,589.667000,1403,-0.681138,9.120000,-1.336020
23666,6.800000,367.200000,407,0.000000,7.630000,-1.296600
23667,12.333300,584.000000,1371,-0.686576,9.340000,-1.338940
23668,5.000000,300.000000,300,0.000000,0.880000,-1.288680
23669,13.666700,575.667000,1549,-0.691496,10.590000,-1.309430
23670,16.800000,497.500000,907,-0.596091,43.120000,-1.262020
23671,13.000000,574.000000,1557,-0.692568,9.020000,-1.309140
23672,4.000000,300.000000,300,0.000000,0.730000,-1.293240
23673,39.333300,585.333000,1434,-0.675843,38.080000,-1.317560
23674,9.300000,427.100000,511,-0.125575,13.080000,-1.325850
23675,11.333300,570.333000,1388,-0.688196,7.780000,-1.357880
23676,7.000000,300.000000,300,0.000000,1.280000,-1.371110
23677,11.333300,586.667000,1607,-0.691613,8.360000,-1.286620
23678,15.000000,477.286000,1056,-0.625491,21.220000,-1.492250
23679,12.666700,579.333000,1574,-0.692158,8.730000,-1.259730
23680,6.000000,300.000000,300,0.000000,1.060000,-1.326570
23681,9.600000,644.200000,1741,-0.019676,13.560000,-1.325340
23682,7.125000,344.625000,376,0.000000,5.920000,-1.336910
23683,9.000000,457.000000,1014,-0.159836,4.380000,-1.402870
23684,7.000000,300.000000,300,0.000000,1.230000,-1.296620
23685,10.800000,661.800000,1807,-0.034278,15.080000,-1.329570
23686,7.800000,363.400000,402,-0.097652,8.750000,-1.322320
23687,9.666670,459.333000,1027,-0.142078,4.720000,-1.408150
23688,4.000000,300.000000,300,0.000000,0.760000,-1.320820
23689,9.600000,647.000000,1743,-0.022960,11.640000,-1.337760
23690,8.500000,376.200000,432,-0.092216,9.980000,-1.352190
23691,9.000000,457.667000,1005,-0.123672,4.020000,-1.389660
23692,4.000000,300.000000,300,0.000000,0.780000,-1.307300
23693,12.200000,654.200000,1799,-0.063556,17.300000,-1.306180
23694,12.300000,496.700000,786,-0.378623,23.980000,-1.330780
23695,9.000000,454.667000,1006,-0.108981,3.870000,-1.396390
23696,4.500000,300.000000,300,0.000000,0.810000,-1.375020
23697,26.000000,644.400000,1721,-0.157006,43.790000,-1.344280
23698,5.000000,346.333000,369,-0.033685,4.490000,-1.295710
23699,8.666670,466.333000,1039,-0.192952,4.160000,-1.371310
23700,5.000000,300.000000,300,0.000000,0.960000,-1.362540
23701,8.666670,459.333000,1001,-0.232267,4.110000,-1.403410
23702,10.600000,371.500000,497,-0.352074,12.990000,-1.371510
23703,10.000000,461.333000,1049,-0.245098,4.900000,-1.376840
23704,5.000000,300.000000,300,0.000000,0.900000,-1.297520
23705,10.600000,645.600000,1720,-0.170155,15.640000,-1.330790
23706,7.900000,338.500000,379,-0.140474,7.800000,-1.301770
23707,12.000000,674.200000,1917,-0.228372,17.730000,-1.324510
23708,4.500000,300.000000,300,0.000000,0.820000,-1.344680
23709,12.200000,669.400000,1840,-0.166906,16.950000,-1.328540
23710,14.500000,538.250000,1049,-0.534311,28.390000,-1.512700
23711,9.333330,460.333000,1030,-0.154761,4.480000,-1.384170
23712,4.500000,300.000000,300,0.000000,0.830000,-1.343270
23713,9.000000,461.000000,1010,-0.140545,4.290000,-1.383640
23714,6.600000,346.900000,376,-0.033158,6.810000,-1.304800
23715,12.600000,669.200000,1858,-0.125759,16.940000,-1.319750
23716,4.000000,300.000000,300,0.000000,0.740000,-1.386850
23717,8.333330,465.000000,1021,-0.183686,4.090000,-1.388370
23718,8.166670,352.667000,395,0.000000,5.280000,-1.311790
23719,9.666670,466.000000,1029,-0.145162,4.630000,-1.395060
23720,5.000000,300.000000,300,0.000000,0.890000,-1.387400
23721,13.200000,664.800000,1823,-0.125682,18.190000,-1.335370
23722,7.600000,394.300000,451,-0.028453,9.390000,-1.352920
23723,9.333330,461.000000,1022,-0.129050,4.390000,-1.386680
23724,6.000000,300.000000,300,0.000000,1.050000,-1.314570
23725,10.666700,465.000000,1024,-0.180286,5.120000,-1.392680
23726,12.100000,502.600000,791,-0.384387,23.160000,-1.337500
23727,8.333330,453.333000,1001,-0.170980,4.170000,-1.395880
23728,4.000000,300.000000,300,0.000000,0.800000,-1.339790
23729,10.000000,460.333000,1019,-0.223878,4.700000,-1.380120
23730,7.700000,371.400000,416,-0.065087,8.660000,-1.292940
23731,11.250000,594.000000,1014,-0.412131,14.360000,-1.247120
23732,4.000000,300.000000,300,0.000000,0.740000,-1.349420
23733,9.666670,462.000000,1035,-0.383530,4.720000,-1.383520
23734,12.800000,431.800000,661,-0.403478,21.320000,-1.328160
23735,31.750000,592.250000,1028,-0.342264,45.410000,-1.255740
23736,4.000000,300.000000,300,0.000000,0.820000,-1.333990
23737,10.333300,460.000000,1011,-0.318293,5.170000,-1.350030
23738,9.000000,431.900000,522,-0.136999,12.760000,-1.372480
23739,9.000000,459.667000,1007,-0.279835,4.210000,-1.400310
23740,5.000000,300.000000,300,0.000000,0.910000,-1.340270
23741,9.666670,464.667000,1034,-0.332666,4.720000,-1.393150
23742,16.750000,540.875000,1143,-0.559676,32.450000,-1.503440
23743,8.666670,459.667000,1019,-0.159239,3.860000,-1.401650
23744,4.000000,300.000000,300,0.000000,0.750000,-1.296440
23745,12.333300,543.667000,1036,-0.692609,7.760000,-1.412990
23746,6.111110,341.000000,360,-0.019124,5.640000,-1.297200
23747,11.333300,582.333000,1133,-0.691070,8.040000,-1.374020
23748,4.000000,300.000000,300,0.000000,0.740000,-1.362410
23749,12.333300,581.000000,1275,-0.692283,8.690000,-1.379950
23750,9.000000,380.100000,485,-0.264438,11.780000,-1.318630
23751,12.000000,593.667000,1354,-0.693120,8.520000,-1.368090
23752,5.000000,300.000000,300,0.000000,0.890000,-1.303270
23753,14.000000,581.667000,1124,-0.690978,9.850000,-1.416090
23754,9.100000,389.000000,459,-0.136480,11.390000,-1.347660
23755,39.666700,585.667000,1137,-0.687092,38.310000,-1.402010
23756,4.500000,300.000000,300,0.000000,0.860000,-1.305400
23757,14.333300,589.667000,1352,-0.693094,10.360000,-1.387130
23758,12.500000,585.900000,985,-0.366520,30.210000,-1.266740
23759,12.000000,589.000000,1329,-0.691951,9.020000,-1.343810
23760,5.000000,300.000000,300,0.000000,0.920000,-1.397550
23761,13.333300,589.000000,1414,-0.682908,9.500000,-1.319490
23762,7.500000,381.100000,434,-0.052370,8.930000,-1.290580
23763,42.333300,585.000000,1469,-0.678242,25.550000,-1.336000
23764,5.000000,300.000000,300,0.000000,0.940000,-1.356010
23765,13.666700,569.333000,1581,-0.691834,9.200000,-1.322020
23766,14.700000,518.900000,977,-0.575166,32.520000,-1.236540
23767,12.333300,596.000000,1636,-0.691278,8.740000,-1.302950
23768,5.000000,300.000000,300,0.000000,0.930000,-1.378660
23769,11.333300,563.667000,1324,-0.688612,8.190000,-1.373440
23770,10.200000,469.300000,590,-0.124579,16.520000,-1.321260
23771,11.666700,580.333000,1479,-0.683698,8.320000,-1.331110
23772,5.000000,300.000000,300,0.000000,0.920000,-1.324080
23773,11.666700,573.667000,1532,-0.691783,8.330000,-1.287350
23774,18.250000,516.000000,1175,-0.633119,34.990000,-1.463210
23775,14.000000,587.667000,1637,-0.691734,10.540000,-1.281260
23776,5.500000,300.000000,300,0.000000,0.990000,-1.305430
23777,13.333300,587.000000,1081,-0.671716,9.790000,-1.391790
23778,7.125000,363.125000,404,0.000000,6.510000,-1.298480
23779,44.333300,583.667000,1131,-0.691063,40.140000,-1.391970
23780,3.500000,300.000000,300,0.000000,0.660000,-1.363960
23781,11.666700,573.667000,1268,-0.690845,8.700000,-1.378290
23782,7.833330,341.000000,368,0.000000,4.710000,-1.320280
23783,40.333300,596.333000,1311,-0.690407,45.440000,-1.367990
23784,4.000000,300.000000,300,0.000000,0.750000,-1.352200
23785,11.666700,580.667000,1091,-0.678066,8.570000,-1.386530
23786,8.000000,385.500000,437,-0.082109,9.660000,-1.381670
23787,11.666700,583.000000,1160,-0.692666,8.770000,-1.423780
23788,5.000000,300.000000,300,0.000000,0.910000,-1.306750
23789,14.000000,584.000000,1344,-0.693143,11.240000,-1.382540
23790,10.800000,521.100000,926,-0.411496,23.320000,-1.293370
23791,11.666700,579.667000,1315,-0.692869,8.160000,-1.374850
23792,4.500000,300.000000,300,0.000000,0.810000,-1.367840
23793,42.000000,590.667000,1398,-0.686081,26.120000,-1.347480
23794,5.666670,342.444000,365,-0.033995,5.160000,-1.294210
23795,12.666700,595.667000,1488,-0.683720,9.240000,-1.324910
23796,4.500000,300.000000,300,0.000000,0.820000,-1.352340
23797,15.000000,577.000000,1590,-0.691817,11.980000,-1.287880
23798,10.300000,390.300000,542,-0.359358,13.720000,-1.343040
23799,12.000000,580.333000,1629,-0.692351,8.610000,-1.273130
23800,4.500000,300.000000,300,0.000000,0.830000,-1.285300
23801,12.000000,587.667000,1445,-0.687821,9.270000,-1.361170
23802,7.700000,364.000000,427,-0.102203,8.700000,-1.347420
23803,12.666700,598.333000,1503,-0.686962,9.030000,-1.335820
23804,5.000000,300.000000,300,0.000000,0.950000,-1.308560
23805,12.666700,586.000000,1622,-0.691395,9.090000,-1.294490
23806,11.166700,462.167000,1040,-0.629167,12.010000,-1.515620
23807,13.333300,585.667000,1605,-0.690754,10.810000,-1.290020
23808,12.000000,593.667000,1712,0.000000,8.710000,-1.269450
23809,14.000000,578.000000,1646,-0.686886,10.020000,-1.277530
23810,12.666700,595.667000,1726,-0.114457,9.140000,-1.254100
23811,14.000000,594.333000,1709,-0.693098,11.500000,-1.264880
23812,12.000000,588.000000,1691,0.000000,9.280000,-1.286600
23813,13.000000,599.667000,1738,-0.684518,9.960000,-1.254020
23814,11.000000,583.667000,1670,-0.214936,7.970000,-1.269940
23815,12.000000,593.333000,1738,-0.693081,8.960000,-1.264660
23816,12.333300,582.667000,1660,0.000000,8.290000,-1.274660
23817,14.000000,592.667000,1704,-0.689671,10.360000,-1.254340
23818,12.333300,587.667000,1702,-0.106961,8.760000,-1.247680
